Period,Clock,Play,Score,game_id,home_id,away_id,game_date,time,Half
4,00:19:00,Substitution ODU: in Joy Campbell,45 - 45,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,00:19:00,Substitution ODU: out Mimi McCollister,45 - 45,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,00:19:00,Timeout full Aggies,45 - 45,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,00:19:00,"Foul offensive (back court) Mimi McCollister(ODU), turnover offensive Mimi McCollister(ODU), foul on D’Mya Tucker(Aggies)",45 - 45,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,00:40:00,"2pt driving layup (under the basket) missed by Maleia Bracone(Aggies), rebound defensive Kaye Clark(ODU)",45 - 45,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,01:05:00,"2pt jump shot (2nd chance;off turnover) (inside right) missed by Mimi McCollister(ODU), rebound defensive Chaniya Clark(Aggies)",45 - 45,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,01:26:00,"2pt driving layup (off turnover) (under the basket) missed by Jordan McLaughlin(ODU), rebound offensive Simone Cunningham(ODU)",45 - 45,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,01:30:00,"Turnover bad pass (under the basket) D’Mya Tucker(Aggies), steal Jordan McLaughlin(ODU)",45 - 45,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,01:37:00,"Turnover bad pass (inside right) Jordan McLaughlin(ODU), steal Jordyn Dorsey(Aggies)",45 - 45,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,01:58:00,Turnover travel (in the paint) D’Mya Tucker(Aggies),45 - 45,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,02:04:00,Substitution ODU: in Lanetta Williams,45 - 45,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,02:04:00,Substitution ODU: out Brenda Fontana,45 - 45,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,02:04:00,"Foul personal (loose ball) (under the basket) Brenda Fontana(ODU), turnover offensive Brenda Fontana(ODU)",45 - 45,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,02:04:00,"Foul personal (under the basket) Brenda Fontana(ODU), foul on Jordyn Dorsey(Aggies)",45 - 45,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,02:04:00,Foul personal (shooting) (under the basket) Brenda Fontana(ODU),45 - 45,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,02:09:00,"Turnover lost ball (in the paint) Jordan McLaughlin(ODU), steal Talia Davis(Aggies)",45 - 45,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,02:30:00,"Turnover bad pass (inside left) Jordyn Dorsey(Aggies), steal Mimi McCollister(ODU)",45 - 45,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,02:48:00,Substitution ODU: in Simone Cunningham,45 - 45,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,02:48:00,Substitution ODU: out Lanetta Williams,45 - 45,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,02:48:00,Substitution ODU: in Brenda Fontana,45 - 45,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,02:48:00,Substitution ODU: in Mimi McCollister,45 - 45,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,02:48:00,Substitution ODU: out Halima Salat,45 - 45,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,02:48:00,Substitution ODU: out Simone Cunningham,45 - 45,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,02:48:00,"Foul personal (in the paint) Simone Cunningham(ODU), foul on Chaniya Clark(Aggies)",45 - 45,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,03:01:00,"2pt jump shot (in the paint) made by Kaye Clark(ODU), assist Jordan McLaughlin(ODU)",45 - 45,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,03:22:00,2pt driving layup (off turnover;fast break) (in the paint) made by Maleia Bracone(Aggies),43 - 45,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,03:26:00,"Turnover bad pass (outside left) Halima Salat(ODU), steal Maleia Bracone(Aggies)",43 - 43,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,03:50:00,2pt driving layup (under the basket) made by Maleia Bracone(Aggies),43 - 43,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,04:07:00,"Foul personal (inside right) Lanetta Williams(ODU), foul on Chaniya Clark(Aggies)",43 - 41,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,04:23:00,Timeout short Aggies,43 - 41,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,04:23:00,"Free throw 1 of 1 missed by Simone Cunningham(ODU), rebound defensive Chaniya Clark(Aggies)",43 - 41,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,04:23:00,Substitution ODU: in Halima Salat,43 - 41,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,04:23:00,Substitution ODU: out Joy Campbell,43 - 41,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,04:23:00,Foul personal (shooting;1 free throw) (in the paint) Chaniya Clark(Aggies),43 - 41,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,04:23:00,"2pt jump shot (in the paint) made by Simone Cunningham(ODU), assist Kaye Clark(ODU)",43 - 41,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,04:38:00,Substitution ODU: in Lanetta Williams,41 - 41,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,04:38:00,Substitution ODU: out Brenda Fontana,41 - 41,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,04:38:00,"Foul personal (inside right) Jordyn Dorsey(Aggies), foul on Kaye Clark(ODU)",41 - 41,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,04:55:00,"3pt jump shot (outside left wing) made by Talia Davis(Aggies), assist Jordyn Dorsey(Aggies)",41 - 41,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,05:04:00,Substitution ODU: in Jordan McLaughlin,41 - 38,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,05:04:00,Substitution ODU: out Mimi McCollister,41 - 38,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,05:04:00,"Foul personal (inside left) Brenda Fontana(ODU), foul on Chaniya Clark(Aggies)",41 - 38,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,05:14:00,"2pt layup (under the basket) missed by Mimi McCollister(ODU), rebound defensive Jordyn Dorsey(Aggies)",41 - 38,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,05:32:00,"2pt turnaround jump shot (in the paint) missed by Chaniya Clark(Aggies), rebound defensive Brenda Fontana(ODU)",41 - 38,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,05:56:00,"2pt jump shot (inside left) missed by Joy Campbell(ODU), rebound defensive (team) Aggies",41 - 38,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,06:04:00,"2pt layup (blocked) (in the paint) missed by D’Mya Tucker(Aggies), block Brenda Fontana(ODU), rebound defensive Kaye Clark(ODU)",41 - 38,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,06:21:00,Substitution ODU: in Joy Campbell,41 - 38,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,06:21:00,Substitution ODU: out Jordan McLaughlin,41 - 38,5254426,560959,561001,2024-03-24,2024-03-25,NA
4,06:21:00,Timeout short ODU,41 - 38,5254426,560959,561001,2024-03-24,2024-03-25,NA
