Half,Clock,Play,Score,game_id,home_id,away_id,time,game_date
2,15:31:00,Timeout commercial,38 - 36,5252651,560955,561008,2024-03-15,2024-03-14
2,15:31:00,Foul personal (shooting;2 free throws) (under the basket) Felix Okpara(OSU),38 - 36,5252651,560955,561008,2024-03-15,2024-03-14
2,15:42:00,"2pt layup (2nd chance) (under the basket) missed by Jamison Battle(OSU), rebound defensive Marcus Domask(ILL)",38 - 36,5252651,560955,561008,2024-03-15,2024-03-14
2,15:47:00,"2pt driving layup (under the basket) missed by Roddy Gayle Jr.(OSU), rebound offensive Jamison Battle(OSU)",38 - 36,5252651,560955,561008,2024-03-15,2024-03-14
2,15:53:00,"2pt layup (off turnover;blocked) (under the basket) missed by Marcus Domask(ILL), block Felix Okpara(OSU), rebound defensive Felix Okpara(OSU)",38 - 36,5252651,560955,561008,2024-03-15,2024-03-14
2,16:07:00,Turnover bad pass (inside left) Roddy Gayle Jr.(OSU),38 - 36,5252651,560955,561008,2024-03-15,2024-03-14
2,16:32:00,"3pt jump shot (outside left) made by Marcus Domask(ILL), assist Coleman Hawkins(ILL)",38 - 36,5252651,560955,561008,2024-03-15,2024-03-14
2,16:49:00,"Free throw 2 of 2 (fast break) missed by Bruce Thornton(OSU), rebound offensive Jamison Battle(OSU), rebound defensive Luke Goode(ILL)",38 - 33,5252651,560955,561008,2024-03-15,2024-03-14
2,16:49:00,Substitution ILL: in Luke Goode,38 - 33,5252651,560955,561008,2024-03-15,2024-03-14
2,16:49:00,Substitution ILL: in Justin Harmon,38 - 33,5252651,560955,561008,2024-03-15,2024-03-14
2,16:49:00,Substitution ILL: out Ty Rodgers,38 - 33,5252651,560955,561008,2024-03-15,2024-03-14
2,16:49:00,Substitution ILL: out Quincy Guerrier,38 - 33,5252651,560955,561008,2024-03-15,2024-03-14
2,16:49:00,Free throw 1 of 2 (fast break) made by Bruce Thornton(OSU),38 - 33,5252651,560955,561008,2024-03-15,2024-03-14
2,16:49:00,Foul personal (shooting;2 free throws) (in the paint) Terrence Shannon Jr.(ILL),37 - 33,5252651,560955,561008,2024-03-15,2024-03-14
2,16:57:00,"3pt jump shot (outside left) missed by Terrence Shannon Jr.(ILL), rebound defensive Devin Royal(OSU)",37 - 33,5252651,560955,561008,2024-03-15,2024-03-14
2,16:58:00,Substitution OSU: in Devin Royal,37 - 33,5252651,560955,561008,2024-03-15,2024-03-14
2,16:58:00,Substitution OSU: out Evan Mahaffey,37 - 33,5252651,560955,561008,2024-03-15,2024-03-14
2,16:58:00,"Foul personal (inside left wing) Evan Mahaffey(OSU), foul on Terrence Shannon Jr.(ILL)",37 - 33,5252651,560955,561008,2024-03-15,2024-03-14
2,17:03:00,"3pt jump shot (outside left) missed by Jamison Battle(OSU), rebound defensive Coleman Hawkins(ILL)",37 - 33,5252651,560955,561008,2024-03-15,2024-03-14
2,17:16:00,"Foul personal (inside center) Terrence Shannon Jr.(ILL), foul on Jamison Battle(OSU)",37 - 33,5252651,560955,561008,2024-03-15,2024-03-14
2,19:17:00,Turnover lost ball (inside left) Terrence Shannon Jr.(ILL),37 - 33,5252651,560955,561008,2024-03-15,2024-03-14
2,17:29:00,Timeout commercial,37 - 33,5252651,560955,561008,2024-03-15,2024-03-14
2,17:29:00,Timeout short ILL,37 - 33,5252651,560955,561008,2024-03-15,2024-03-14
2,17:30:00,2pt layup (2nd chance) (under the basket) made by Ty Rodgers(ILL),37 - 33,5252651,560955,561008,2024-03-15,2024-03-14
2,17:36:00,"3pt jump shot (outside right) missed by Marcus Domask(ILL), rebound offensive Ty Rodgers(ILL)",37 - 31,5252651,560955,561008,2024-03-15,2024-03-14
2,18:08:00,"3pt pull up jump shot (outside center) missed by Bruce Thornton(OSU), rebound defensive Ty Rodgers(ILL)",37 - 31,5252651,560955,561008,2024-03-15,2024-03-14
2,18:25:00,"2pt driving layup (under the basket) missed by Marcus Domask(ILL), rebound defensive (team) OSU",37 - 31,5252651,560955,561008,2024-03-15,2024-03-14
2,18:38:00,"3pt step back jump shot (outside right) made by Bruce Thornton(OSU), assist Felix Okpara(OSU)",37 - 31,5252651,560955,561008,2024-03-15,2024-03-14
2,18:47:00,"3pt jump shot (outside right) missed by Terrence Shannon Jr.(ILL), rebound defensive Evan Mahaffey(OSU)",34 - 31,5252651,560955,561008,2024-03-15,2024-03-14
2,19:04:00,Free throw 1 of 1 made by Roddy Gayle Jr.(OSU),34 - 31,5252651,560955,561008,2024-03-15,2024-03-14
2,19:04:00,Foul personal (shooting;1 free throw) (in the paint) Ty Rodgers(ILL),33 - 31,5252651,560955,561008,2024-03-15,2024-03-14
2,19:04:00,2pt floating jump shot (off turnover) (in the paint) made by Roddy Gayle Jr.(OSU),37 - 33,5252651,560955,561008,2024-03-15,2024-03-14
2,19:18:00,2pt driving layup (under the basket) missed by Terrence Shannon Jr.(ILL),37 - 33,5252651,560955,561008,2024-03-15,2024-03-14
2,19:42:00,2pt step back jump shot (2nd chance) (inside right) made by Jamison Battle(OSU),31 - 31,5252651,560955,561008,2024-03-15,2024-03-14
2,19:49:00,"2pt layup (in the paint) missed by Jamison Battle(OSU), rebound offensive Jamison Battle(OSU)",29 - 31,5252651,560955,561008,2024-03-15,2024-03-14
2,20:00:00,Period start,29 - 31,5252651,560955,561008,2024-03-15,2024-03-14
2,20:00:00,Substitution OSU: in Evan Mahaffey,29 - 31,5252651,560955,561008,2024-03-15,2024-03-14
2,20:00:00,Substitution OSU: out Dale Bonner,29 - 31,5252651,560955,561008,2024-03-15,2024-03-14
2,20:00:00,Substitution ILL: in Quincy Guerrier,29 - 31,5252651,560955,561008,2024-03-15,2024-03-14
2,20:00:00,Substitution ILL: out Dain Dainja,29 - 31,5252651,560955,561008,2024-03-15,2024-03-14
1,00:00:00,Period end (confirmed),29 - 31,5252651,560955,561008,2024-03-15,2024-03-14
1,00:01:00,Substitution ILL: in Dain Dainja,29 - 31,5252651,560955,561008,2024-03-15,2024-03-14
1,00:01:00,Substitution ILL: out Luke Goode,29 - 31,5252651,560955,561008,2024-03-15,2024-03-14
1,00:01:00,Free throw 2 of 2 (2nd chance) made by Ty Rodgers(ILL),29 - 31,5252651,560955,561008,2024-03-15,2024-03-14
1,00:01:00,Substitution OSU: in Jamison Battle,29 - 30,5252651,560955,561008,2024-03-15,2024-03-14
1,00:01:00,Substitution OSU: out Zed Key,29 - 30,5252651,560955,561008,2024-03-15,2024-03-14
1,00:01:00,Timeout short OSU,29 - 30,5252651,560955,561008,2024-03-15,2024-03-14
1,00:01:00,"Free throw 1 of 2 (2nd chance) missed by Ty Rodgers(ILL), rebound offensive dead ball ILL",29 - 30,5252651,560955,561008,2024-03-15,2024-03-14
1,00:01:00,"Foul personal (loose ball;2 free throws) (in the paint) Bruce Thornton(OSU), foul on Ty Rodgers(ILL)",29 - 30,5252651,560955,561008,2024-03-15,2024-03-14
1,00:03:00,"2pt turnaround jump shot (inside left) missed by Marcus Domask(ILL), rebound offensive (team) ILL, rebound offensive (team) ILL",29 - 30,5252651,560955,561008,2024-03-15,2024-03-14
1,00:29:00,"2pt hook shot (in the paint) missed by Zed Key(OSU), rebound defensive Ty Rodgers(ILL)",29 - 30,5252651,560955,561008,2024-03-15,2024-03-14
1,00:46:00,"2pt driving layup (in the paint) missed by Marcus Domask(ILL), rebound defensive Dale Bonner(OSU)",29 - 30,5252651,560955,561008,2024-03-15,2024-03-14
1,00:46:00,2pt (in the paint) made by ILL,29 - 32,5252651,560955,561008,2024-03-15,2024-03-14
1,01:04:00,2pt pull up jump shot (in the paint) made by Bruce Thornton(OSU),29 - 30,5252651,560955,561008,2024-03-15,2024-03-14
1,01:26:00,"3pt jump shot (fast break) (outside left) made by Luke Goode(ILL), assist Terrence Shannon Jr.(ILL)",27 - 30,5252651,560955,561008,2024-03-15,2024-03-14
1,01:32:00,"2pt layup (2nd chance) (under the basket) missed by Dale Bonner(OSU), rebound defensive Ty Rodgers(ILL)",27 - 27,5252651,560955,561008,2024-03-15,2024-03-14
1,01:42:00,"3pt pull up jump shot (outside center) missed by Dale Bonner(OSU), rebound offensive Bruce Thornton(OSU)",27 - 27,5252651,560955,561008,2024-03-15,2024-03-14
1,01:59:00,"2pt turnaround jump shot (off turnover) (in the paint) missed by Marcus Domask(ILL), rebound defensive Felix Okpara(OSU)",27 - 27,5252651,560955,561008,2024-03-15,2024-03-14
1,02:16:00,Substitution OSU: in Roddy Gayle Jr.,27 - 27,5252651,560955,561008,2024-03-15,2024-03-14
1,02:16:00,Substitution OSU: out Scotty Middleton,27 - 27,5252651,560955,561008,2024-03-15,2024-03-14
1,02:16:00,Substitution ILL: in Coleman Hawkins,27 - 27,5252651,560955,561008,2024-03-15,2024-03-14
1,02:16:00,Substitution ILL: in Luke Goode,27 - 27,5252651,560955,561008,2024-03-15,2024-03-14
1,02:16:00,Substitution ILL: out Dain Dainja,27 - 27,5252651,560955,561008,2024-03-15,2024-03-14
1,02:16:00,Substitution ILL: out Quincy Guerrier,27 - 27,5252651,560955,561008,2024-03-15,2024-03-14
1,02:16:00,Timeout commercial,27 - 27,5252651,560955,561008,2024-03-15,2024-03-14
1,02:16:00,Turnover travel (in the paint) Bruce Thornton(OSU),27 - 27,5252651,560955,561008,2024-03-15,2024-03-14
1,02:32:00,2pt dunk (off turnover;fast break) (under the basket) made by Terrence Shannon Jr.(ILL),27 - 27,5252651,560955,561008,2024-03-15,2024-03-14
1,02:36:00,"Turnover bad pass (inside right) Zed Key(OSU), steal Terrence Shannon Jr.(ILL)",27 - 25,5252651,560955,561008,2024-03-15,2024-03-14
1,03:05:00,"2pt turnaround jump shot (2nd chance) (in the paint) missed by Marcus Domask(ILL), rebound defensive Zed Key(OSU)",27 - 25,5252651,560955,561008,2024-03-15,2024-03-14
1,03:25:00,"2pt dunk (blocked) (in the paint) missed by Quincy Guerrier(ILL), block Felix Okpara(OSU), rebound offensive Ty Rodgers(ILL)",27 - 25,5252651,560955,561008,2024-03-15,2024-03-14
1,03:36:00,"2pt hook shot (in the paint) missed by Felix Okpara(OSU), rebound defensive Quincy Guerrier(ILL)",27 - 25,5252651,560955,561008,2024-03-15,2024-03-14
